Date,US~EU,US~EM,US~Tech,US~EU HY,US~Me A Ee,EU~EM,EU~Tech,EU~EU HY,EU~Me A Ee,EM~Tech,EM~EU HY,EM~Me A Ee,Tech~EU HY,Tech~Me A Ee,EU HY~Me A Ee
2025-04-23,0.7552180579892357,0.62378733772691,0.7978044296420772,0.6316062907086463,0.8337209186258087,0.6866430723351481,0.8249867565467502,0.6273460017336309,0.7996704086233464,0.6854316102475123,0.4972333164101435,0.6884234202702364,0.5860535420047275,0.7776189620497562,0.7046005374256299
2025-04-24,0.7535829241159868,0.6234040132028474,0.7900779835599354,0.6302766586501001,0.8312732802243766,0.6823636711295095,0.8232699685588484,0.6277297853891102,0.8013964640528342,0.6719959094746288,0.4937246470024184,0.6770549173010437,0.5857830976686857,0.7805082903268997,0.70679199543711
2025-04-25,0.7543296038816553,0.6236300488503818,0.7895240336484177,0.6313662021123344,0.8300140500747785,0.6828099057224037,0.8233906448079374,0.6286489385647149,0.800879969339524,0.6717892677901034,0.4948791488229013,0.6774522364506574,0.5867925094006937,0.7812004750699832,0.7065564402331685
2025-04-28,0.751598398442578,0.627006977305676,0.787126387993883,0.6312990882522438,0.8329690647968899,0.685181363328364,0.8220245840047368,0.6289488556625009,0.8065304972407326,0.6710145739854013,0.495683948115999,0.676254854634498,0.5858072641540151,0.7836888506639961,0.7072222501312526
2025-04-29,0.751445822327463,0.6277709950023397,0.7860616954574653,0.631559714684569,0.8335660986401491,0.6848785305737398,0.8204017509196834,0.6288651646601766,0.806578553801017,0.6649220987493345,0.4945073726903891,0.6751425729782807,0.5850768194114793,0.7823208805241421,0.7071639091192892
2025-04-30,0.7575054773798315,0.6285463896216339,0.7868797773538909,0.6360514483441356,0.8406978697862114,0.6842771302006773,0.8202537734554737,0.6282509887730751,0.8058217467608104,0.6652377726127225,0.49091658193424703,0.6720862345003291,0.5818528271684497,0.7798531243738533,0.7082980122752879
2025-05-01,0.7307337562323362,0.6072214571369116,0.7954070383288891,0.6143271404622728,0.8127492512905464,0.6844843397420441,0.8065115652464626,0.6282923388793311,0.8060097560698403,0.6558676061181817,0.4909392438528067,0.6720862345003291,0.5730547998242742,0.7690860592201061,0.7083105028649136
2025-05-02,0.7249090861222692,0.6067538780161031,0.7950972960794764,0.6139543674157668,0.8122640606561136,0.6905789729267771,0.8061238460099542,0.6183789619539831,0.7933570528436972,0.6588715899988319,0.4872865819129378,0.6672129818293953,0.5709664715968702,0.7663596977404963,0.7083114147207172
2025-05-05,0.7261716372166196,0.6086063741263856,0.8011421968230779,0.6141750874752409,0.8090538373329799,0.6905180350272883,0.8074698762880096,0.6183702049302516,0.7878220053916928,0.6593919439762888,0.487115272817669,0.6650756744550298,0.5724933726968814,0.7634000423330094,0.7016403963651832
2025-05-06,0.7257064215438462,0.6070246360137946,0.8026210839054292,0.6148321939565832,0.8148361103171567,0.6897962818604305,0.8077733691585206,0.6181172433835129,0.7905553706829818,0.6596503605986903,0.4874234624986466,0.6682291256929043,0.5711928136469643,0.7647513655108887,0.6991071390206108
2025-05-07,0.722072578380657,0.6077541797909913,0.8018557218034646,0.616933019030406,0.8147629356476074,0.6858300850478295,0.806860899384561,0.615939409243091,0.787828456479002,0.6585069425593472,0.48818320946186455,0.6682431920729446,0.5711077599031382,0.764087462611825,0.6999667200079295
2025-05-08,0.7231180198414816,0.6092067030886583,0.8004911380830554,0.6179670021109297,0.8144062562766611,0.6860303026141887,0.8067784055902404,0.6165526081612368,0.7892465164154153,0.6561675262240355,0.48876146854146196,0.6708305997590789,0.5704104204577253,0.7627209777757995,0.7017991637502357
2025-05-09,0.7262191557595551,0.6082587205350174,0.8002168319269607,0.6170746185923164,0.8144935911221879,0.6867984351197125,0.8100630717384051,0.6173127692687451,0.7933201823318062,0.6561304418884114,0.4886963536540976,0.6673429119969936,0.5703875073177955,0.7603946711168749,0.6982599166210739
2025-05-12,0.7328662849662987,0.6313559139464776,0.8066033792983098,0.6361238948259735,0.8189023748265963,0.706733334885087,0.8010272025916021,0.6312819771526829,0.8101803326753503,0.6889514877439689,0.5222479993553835,0.6728227644835868,0.6037592117067907,0.7585025503451304,0.7031800798205619
2025-05-13,0.7332231680094026,0.6299066745534445,0.8078924325229447,0.6289871897594607,0.8184316602899382,0.7055782691793552,0.8028303554882708,0.6282374553442975,0.8101624906112737,0.6911369721072892,0.525841623937593,0.6725726315955578,0.5969094875275729,0.7594710483601227,0.700669310986994
2025-05-14,0.733021039534694,0.631372990464735,0.8080352907522219,0.6219788515733504,0.8187338434117323,0.7077660742237631,0.8030556898971801,0.6203941286783927,0.8106473847123464,0.6959135521462649,0.5153299534381557,0.6790994728533304,0.5891491365657208,0.7597001176337949,0.6905259469848211
2025-05-15,0.7330005737339096,0.63038140817898,0.8080448542706903,0.6173968424515761,0.8187316631890182,0.7058818152975654,0.8029845096870816,0.6144247959466285,0.8106729809454986,0.6946146944457472,0.5196812477085144,0.6776909079255337,0.5846453527813367,0.7596987534471096,0.6847344049131466
2025-05-16,0.7329412776182899,0.6190952326734658,0.8084224258127386,0.6168520486489383,0.819201279552834,0.6966607734314239,0.8020758910871786,0.6141985653371647,0.8131434106104796,0.6847720020751762,0.5141650877114946,0.6735551695072823,0.5844843273683804,0.7627353287171401,0.6853253962886442
2025-05-19,0.7324181527769441,0.6197526867693529,0.8074741062809887,0.6197404364045027,0.8188395789868695,0.6965759457508125,0.7994625467876358,0.6179113432817831,0.8118386722719266,0.6831165800176587,0.5240163496570389,0.6734456806844226,0.5884833944774343,0.7625099015569748,0.6889669671269392
2025-05-20,0.7324790355414044,0.6154463147589859,0.8073035619231173,0.6198032751688607,0.8187022048093296,0.6892739444720196,0.7990054590066993,0.6181515388880565,0.8126100131069173,0.6804888215293229,0.519582685498037,0.666070659365316,0.5882445276262608,0.7616671926891085,0.6891104564396598
2025-05-21,0.730150982889052,0.6154519492978661,0.8047989421330175,0.6249424131865505,0.8177153918664528,0.6871853629778625,0.7980817081279423,0.6238720609645145,0.8115131301429803,0.6781450226497988,0.5232256251999551,0.6651071696001678,0.5974596832859433,0.7600124654016552,0.6951568496094775
2025-05-22,0.7313660852999853,0.6153906164035025,0.8046944530328328,0.6249443705769238,0.8177902990445164,0.6859412257678152,0.7985531315488645,0.6254482951444045,0.8154428314868633,0.6778243375696177,0.5236731560028669,0.6670536871378886,0.5976884979279529,0.7610944651699731,0.6954723669834998
2025-05-23,0.7333946316580551,0.6179904355442665,0.8062198861965808,0.6262170112602792,0.8181064029758321,0.6885549819499651,0.8011364439774752,0.6213406606693197,0.8132353670354517,0.680610680342218,0.5255424420923014,0.668216587754262,0.5948030802621416,0.7602947238043107,0.6955470961835832
2025-05-26,0.7312077035555049,0.6180752603255592,0.805478400168518,0.6301252034829901,0.8182670983564987,0.6902445786225423,0.8044268658788571,0.6248004789974492,0.8149800740320233,0.6811822918944909,0.5253473514119016,0.668702028179801,0.5924761569908362,0.7605649987925845,0.6952302128723418
2025-05-27,0.7310332891939116,0.6209097048868244,0.80628258967991,0.6308735049338432,0.8140816645914349,0.7007788516856144,0.8044519634846341,0.625685225367088,0.8156075276642505,0.6864497718935331,0.5276157078853363,0.6706217430144211,0.5934340958618195,0.7580830730883966,0.6934122881297182
2025-05-28,0.7242954886708431,0.628617797726631,0.8055271744832531,0.6336360372139773,0.8149826605643338,0.7053992132694513,0.8012413818718235,0.6063830220605233,0.8069766875175168,0.6957192849967456,0.547383320104245,0.6781249005094188,0.587468017302775,0.7568475009501382,0.6978109635080189
2025-05-29,0.7240925977374466,0.629085431267119,0.8047445906150217,0.6396852658235058,0.8146274066596941,0.7056155882183399,0.8015744883366136,0.6118858632077677,0.807486305679686,0.6944750344117642,0.5486694018082366,0.677237414539917,0.5887462870991156,0.7574456030110727,0.6999287017281748
2025-05-30,0.7240715483570186,0.6292435961798348,0.8052853724026109,0.6394386024011016,0.8135854200633658,0.7051492648543587,0.8016633318416546,0.610863511693486,0.8052373655154982,0.6951566297456286,0.5500966371192337,0.6783944009294545,0.5894253667479206,0.7564462956639698,0.702092747860506
2025-05-31,0.724703747697054,0.6516254272221071,0.8044225188450247,0.6425723383108447,0.8128377150906796,0.7146399797496834,0.8011775269736574,0.6107595687106815,0.804783881842197,0.7088061088535047,0.5549935315766463,0.6918428966568487,0.5897671551970436,0.7549144915454666,0.702819205740152
2025-06-02,0.7251534140457698,0.6515007270667108,0.8041324777518408,0.6256118295103699,0.8129794646380206,0.7156844036775816,0.8030982647027196,0.6002389698090129,0.8061795721642314,0.7054376423979507,0.5275671020043817,0.6911448242962323,0.5769346058651065,0.7531372721623503,0.6806399689736908
2025-06-03,0.723318631904882,0.6582893662666616,0.8064174084967632,0.6058103403711295,0.8135372624417329,0.7181673902482711,0.8012520009055477,0.5937684317204692,0.80537607114986,0.7085919628778029,0.5255103364091942,0.6950542023085907,0.5617315327997672,0.7540765135718823,0.6686930292132821
2025-06-04,0.7259508838589691,0.6599080456176548,0.807811293511516,0.6081681896507933,0.8138405896925823,0.7167399762342109,0.8011947639297679,0.60444780300524,0.8064341341232844,0.7091128213452929,0.5308029355078818,0.698445061339941,0.568129198358225,0.7554252857371164,0.6708572927872369
2025-06-05,0.7271012383942943,0.6597458594223339,0.7993989319110589,0.6057911653130181,0.8133130562865062,0.7170579035795384,0.8002126634535712,0.6051748928071813,0.8069673308472203,0.7049359355466225,0.529911848643415,0.698159113124127,0.566767090608351,0.7523927965353998,0.6703966011536762
2025-06-06,0.7225061438006838,0.6637744062423645,0.7963754866293344,0.6016961518561985,0.8074362613784662,0.7164279774931841,0.8000772206076374,0.6057078849047081,0.8069643831068719,0.7036100433150131,0.5266831503094948,0.6940733310892265,0.5660973799636002,0.7513848639346575,0.6701187860581542
2025-06-09,0.7238601568385862,0.6645304085049557,0.7956230802528522,0.6018404626392962,0.8073782490732545,0.7153651851938296,0.7996122003244494,0.6053953445001607,0.8082820093084003,0.70322811820793,0.5261127768897276,0.6948230469724892,0.5653375849562817,0.7510467551815899,0.670223843568226
2025-06-10,0.7241005364140888,0.6630248862946534,0.7945329599015468,0.6021735276712565,0.8043264226243699,0.7157993473528286,0.7988400977792592,0.6044831084234727,0.8056466045496595,0.7046795103863636,0.5347674295055047,0.697095077966716,0.5679556437593336,0.7511501644304233,0.6736338992879435
2025-06-11,0.7198852167955007,0.6589454543652575,0.7946167220517264,0.6022650672355685,0.8013079178574971,0.7094669184107194,0.8008885268570383,0.604688648167384,0.8024423387805005,0.7066650263340495,0.536227457224489,0.6894052346973982,0.5670470533679756,0.7539879072771475,0.6755022732656766
2025-06-12,0.7223082862091862,0.6618922171632003,0.796450898776693,0.600968232428183,0.8013444431383047,0.7143915677718834,0.8014008217618337,0.6049297511403129,0.8041509628596574,0.7119493845831691,0.532392181121569,0.6957160328378522,0.5659628263038085,0.7572052203580742,0.6683055109268426
2025-06-13,0.7177284516441478,0.6587230818477829,0.7980925383596874,0.599472552420504,0.7994056513350032,0.7164031020505072,0.8010626939586983,0.6062781327206074,0.8053991604309377,0.7129265356608303,0.5340457913391495,0.6977523178084081,0.5679181392270893,0.7560688714450244,0.6701412532933116
2025-06-16,0.7186232123089566,0.6589364457372877,0.7979983112248437,0.5995512190431489,0.8008762138102492,0.7166857545329113,0.8026726085313924,0.606543155759383,0.8037500338276824,0.7132293940032454,0.5341582339207324,0.6982124812746608,0.568004334301386,0.7574030788791444,0.6708759210441482
2025-06-17,0.7161377688732847,0.6645808109745007,0.7978893258781562,0.5992813554409814,0.7998656118509507,0.710508670305309,0.7983548743147966,0.6059853946796714,0.8039177514459321,0.7203012988664328,0.5379929969734509,0.69799112430774,0.5673438723566621,0.7554590834123843,0.6708086875230876
2025-06-18,0.7224635685283868,0.6652007619476556,0.7976744959825757,0.6065294375359106,0.7983175556664621,0.7116149949820135,0.8022966965311336,0.5970806389554109,0.8085547986046194,0.7188988397754001,0.5387954699235907,0.6951590831978358,0.5698125197326037,0.7551339917081504,0.6751711105837301
2025-06-19,0.7184541544849737,0.6639490775742475,0.7959972314238356,0.6071308309793186,0.7976621449963429,0.7145766447589132,0.8028517144925303,0.5991298207627451,0.8080919139275107,0.7206711621142438,0.5458210312650692,0.6980761173227963,0.5727666858983148,0.7559852179205115,0.6756819493608431
2025-06-20,0.7167674806859996,0.6713443460666041,0.7963790575134283,0.6070638135373555,0.7968478668562419,0.7173009555411869,0.8009441710841732,0.598294043831027,0.8096687151908273,0.7240838847523868,0.5515812552506362,0.7096344605073341,0.5729208502040545,0.7566927688022167,0.6754924956440576
2025-06-23,0.7166411012863587,0.6707139308254579,0.7959843928939832,0.6086534594075688,0.7961129973568658,0.7171932814682237,0.8010174201135678,0.6020158662125739,0.8095156106598081,0.7231942579651562,0.5506457835890813,0.7083623890619769,0.5732227328335723,0.7548067374363641,0.6727523611759739
2025-06-24,0.7202432999496999,0.6699310554027347,0.795291206268425,0.6157557968977965,0.791942881132065,0.7272406845840449,0.8120085647070937,0.5987360592215992,0.8139722838109847,0.7276515073479614,0.5584815771109188,0.7161184030445125,0.5845516406543008,0.7609636172377194,0.6723489891465718
2025-06-25,0.7130362703882098,0.6713994621421474,0.7947361545384035,0.614786083056844,0.792260529533082,0.7230169007632413,0.8093568229283734,0.5971501227998552,0.8088078975614054,0.7272186439931236,0.5590525827583599,0.7190827970664054,0.5847773528822795,0.7617966579367117,0.6720751564077077
2025-06-26,0.713647361894842,0.6739316302300008,0.7965040697472152,0.6152881752877967,0.791378150229822,0.7232776995063176,0.8096975783209807,0.5971727112020898,0.8093799999512401,0.725774131905829,0.5587841927462394,0.7204465366742918,0.5848634158235025,0.7646370813268876,0.6729317139329002
2025-06-27,0.7140716849524233,0.6739361711691588,0.7954639069947725,0.6168436045932126,0.7894390662441161,0.721189147561429,0.8105412956492312,0.591207017660639,0.8030944377836156,0.726455205016413,0.5589184257468117,0.7194944937960467,0.5877225253045315,0.7627859417383924,0.6748860326953566
